,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,dataset,track_link
0,brenda lee,rockin' around the christmas tree,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,audio_features,spotify:track:2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97,126267.0,4.0,hot,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
1,mariah carey,all i want for christmas is you,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107.0,4.0,hot,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,bobby helms,jingle bell rock,7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.806,119.705,audio_features,spotify:track:7vQbuQcyTflfCIOu3Uzzya,https://api.spotify.com/v1/tracks/7vQbuQcyTflfCIOu3Uzzya,https://api.spotify.com/v1/audio-analysis/7vQbuQcyTflfCIOu3Uzzya,130973.0,4.0,hot,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
3,wham!,last christmas,2FRnf9qhLbvw8fu4IBXx78,0.735,0.478,2.0,-12.472,1.0,0.0293,0.189,2.48e-06,0.355,0.947,107.682,audio_features,spotify:track:2FRnf9qhLbvw8fu4IBXx78,https://api.spotify.com/v1/tracks/2FRnf9qhLbvw8fu4IBXx78,https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78,262960.0,4.0,hot,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,burl ives,a holly jolly christmas,77khP2fIVhSW23NwxrRluh,0.683,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,audio_features,spotify:track:77khP2fIVhSW23NwxrRluh,https://api.spotify.com/v1/tracks/77khP2fIVhSW23NwxrRluh,https://api.spotify.com/v1/audio-analysis/77khP2fIVhSW23NwxrRluh,135533.0,4.0,hot,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
5,andy williams,it's the most wonderful time of the year,3gBhiIj76UJQ7jlrUR4qjc,0.294,0.885,4.0,-7.209,0.0,0.106,0.561,0.00133,0.099,0.401,112.715,audio_features,spotify:track:3gBhiIj76UJQ7jlrUR4qjc,https://api.spotify.com/v1/tracks/3gBhiIj76UJQ7jlrUR4qjc,https://api.spotify.com/v1/audio-analysis/3gBhiIj76UJQ7jlrUR4qjc,248160.0,3.0,hot,https://open.spotify.com/track/3gBhiIj76UJQ7jlrUR4qjc
6,dean martin,"let it snow, let it snow, let it snow!",2uFaJJtFpPDc5Pa95XzTvg,0.451,0.24,1.0,-14.014,1.0,0.0351,0.912,2.45e-06,0.175,0.701,134.009,audio_features,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/tracks/2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/audio-analysis/2uFaJJtFpPDc5Pa95XzTvg,117147.0,4.0,hot,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
7,jose feliciano,feliz navidad,0oPdaY4dXtc3ZsaG17V972,0.513,0.831,2.0,-9.004,1.0,0.0383,0.55,0.0,0.336,0.963,148.837,audio_features,spotify:track:0oPdaY4dXtc3ZsaG17V972,https://api.spotify.com/v1/tracks/0oPdaY4dXtc3ZsaG17V972,https://api.spotify.com/v1/audio-analysis/0oPdaY4dXtc3ZsaG17V972,182067.0,4.0,hot,https://open.spotify.com/track/0oPdaY4dXtc3ZsaG17V972
8,jack harlow,lovin on me,4xhsWYTOGcal8zt0J161CU,0.943,0.558,2.0,-4.911,1.0,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,audio_features,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411.0,4.0,hot,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU
9,the ronettes,sleigh ride,5ASM6Qjiav2xPe7gRkQMsQ,0.529,0.772,2.0,-7.013,1.0,0.0287,0.403,2.21e-06,0.316,0.853,91.751,audio_features,spotify:track:5ASM6Qjiav2xPe7gRkQMsQ,https://api.spotify.com/v1/tracks/5ASM6Qjiav2xPe7gRkQMsQ,https://api.spotify.com/v1/audio-analysis/5ASM6Qjiav2xPe7gRkQMsQ,181267.0,4.0,hot,https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ
